key_name,fr_FR,comment
(Re)Create Webhooks,(Re)Créer des Webhooks,
%1 is too long. The maximum length is %2 characters.,%1 est trop long. La longueur maximale est de %2 caractères.,
%1 payment method is currently not available to you. Please visit the %1 section to find more details.,Le mode de paiement TreviPay n’est actuellement pas disponible pour vous. Veuillez consulter la section TreviPay pour plus de détails.,
%1 Portal,Portail TreviPay,
%1-adjustment-fee,Frais d’ajustement trevipay,
%1-adjustment-refund,Trevipay-ajustement-remboursement,
"<p>If you plan to no longer use the TreviPay module, please delete the created webhooks so that TreviPay will stop sending updates to your Magento website. In order to do it please click on the <strong>Delete Webhooks</strong> button.</p><p>Please note that webhooks can be (re)created at any time by clicking on the <strong>(Re)Create Webhooks</strong> button.</p>","<p>Si vous prévoyez de ne plus utiliser le module TreviPay, veuillez supprimer les webhooks créés afin que TreviPay cesse d'envoyer des mises à jour à votre site Magento. Pour ce faire, cliquez sur le bouton <strong>Supprimer les Webhooks</strong>.</p><p>Veuillez noter que les webhooks peuvent être (re)créés à tout moment en cliquant sur le bouton <strong>(Re)créer des webhooks</strong>.</p>",
"<p>It looks like the <strong>API Key</strong> had been edited recently or the <strong>Sandbox Mode</strong> status had been changed.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Il semble que la <strong>Clé API</strong> ait été modifiée récemment ou que le statut du <strong> mode Sandbox</strong> ait été changé.</p><p>Veuillez revoir les paramètres et une fois que vous avez confirmé que tout est configuré correctement, cliquez sur le bouton <strong>Vérifier les Webhooks créés</strong>. Magento récupérera les webhooks créés dans TreviPay en fonction de la <strong>clé API</strong> actuellement configurée (ou <strong>clé API Sandbox</strong> si le <strong>mode Sandbox</strong> est réglé sur « Oui »)</p><p>Si les webhooks ne sont pas créés dans TreviPay, cliquez sur le bouton <strong>(Re)créer des webhooks</strong>. Les webhooks seront re(créés) selon la configuration actuelle du module TreviPay.</p>",
"<p>It looks like the website <strong>Base URL</strong> had been edited recently.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>}Il semble que l'<strong>URL de base</strong> du site Web ait été modifiée récemment.</p><p>Veuillez revoir les paramètres et une fois que vous aurez confirmé que tout est configuré correctement, cliquez sur le bouton <strong>Vérifier les webhooks créés</strong>. Magento récupérera les webhooks créés dans TreviPay en fonction de la <strong>clé API</strong> actuellement configurée (ou <strong>clé API Sandbox</strong> si le <strong>mode Sandbox</strong> est réglé sur « Oui »)</p><p>Si les webhooks ne sont pas créés dans TreviPay ou s'ils sont créés mais en utilisant l'ancien <strong>URL de base</strong> du site Web, cliquez sur le bouton <strong>(Re)créer des webhooks</strong>. Les webhooks seront re(créés) selon la configuration actuelle du module TreviPay.</p>",
"<p>Please note that this might be correct if your websites do not require separate TreviPay programs as it is fine for webhooks to be triggered only to your main website URL.</p><p>If you want to use multiple TreviPay programs, please review the settings and click on the <strong>Check Created Webhooks</strong> button once you have confirmed that everything is correctly set up. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Veuillez noter que cela pourrait être correct si vos sites Web ne nécessitent pas de programmes TreviPay distincts, car les webhooks ne peuvent être déclenchés que vers l'URL de votre site Web principal.</p><p>Si vous souhaitez utiliser plusieurs programmes TreviPay, veuillez revoir les paramètres et cliquer sur le bouton <strong>Vérifier les webhooks créés</strong> après avoir confirmé que tout est correctement paramétré. Magento récupérera les webhooks créés dans TreviPay en fonction de la <strong>Clé API</strong> actuellement configurée (ou <strong>Clé API Sandbox</strong> si le <strong>Mode Sandbox</strong> est réglé sur « Oui »)</p><p>Si les webhooks ne sont pas créés dans TreviPay ou s'ils sont créés mais en utilisant l'ancien <strong>URL de base</strong> du site Web, cliquez sur le bouton <strong>(Re)créer des webhooks</strong>. Les webhooks seront re(créés) selon la configuration actuelle du module TreviPay.</p>",
"<p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Veuillez revoir les paramètres et une fois que vous avez confirmé que tout est configuré correctement, cliquez sur le bouton <strong>Vérifier les Webhooks créés</strong>. Magento récupérera les webhooks créés dans TreviPay en fonction de la <strong>Clé API</strong> actuellement configurée (ou <strong>Clé API Sandbox</strong> si le <strong>Mode Sandbox</strong> est réglé sur « Oui »)</p><p>Si les webhooks ne sont pas créés dans TreviPay, cliquez sur le bouton <strong>(Re)créer des webhooks</strong>. Les webhooks seront re(créés) selon la configuration actuelle du module TreviPay.</p>",
A customer website ID wasn't specified. The ID must be specified to use the website scope.,Aucun identifiant de site Web client n'a été spécifié. L’identifiant doit être spécifié pour utiliser la portée du site Web.,
Accepted Currency,Devise acceptée,
Accounts Payable Integration,Intégration des comptes fournisseurs,
Active buyers only,Acheteurs actifs uniquement,
Adjustment Fee,Frais d'ajustement,
Adjustment Refund,Remboursement d'ajustement,
All customers,Tous les clients,
Already have account?,Vous avez déjà un compte ?,
Amount mismatch in refund details. The provided detail amounts do not add up to the subtotal of the refund.,Décalage de montant dans les détails du remboursement. Les montants détaillés fournis ne correspondent pas au sous-total du remboursement.,
"An error occurred with the following message: ""%1"". Please check the exception log for more details.",Une erreur s'est produite avec le message suivant : « %1 ». Veuillez consulter le journal des exceptions pour plus de détails.,
"An error occurred with the following message: ""%1"". Please enable the debug mode, try again and check the debug log for more details.","Une erreur s'est produite avec le message suivant : « %1 ». Veuillez activer le mode débogage, réessayer et consulter le journal de débogage pour plus de détails.",
"Any empty TreviPay fields will be populated when the Magento Customer signs in to the TreviPay Checkout App, or the TreviPay Customer and TreviPay Buyer status is no longer pending","Tout champ TreviPay laissé vide sera automatiquement complété lorsque le client Magento se connectera à l'application de paiement TreviPay, ou que le statut du client TreviPay et de l'acheteur TreviPay ne sera plus en attente.",
API Key,Clé API,
API key does not match your webhooks API key,La clé API ne correspond pas à la clé API de vos webhooks,
API key matching webhooks,Clé API correspondant aux webhooks,
API URL,URL de L'API,
API URL is not set.,L'URL de l'API n'est pas définie.,
Apply for %1,Postulez à TreviPay,
Apply for Credit,Demander un crédit,
