key_name,fr_CA,comment
(Re)Create Webhooks,(Re)Créer les points d'ancrage Web,
%1 is too long. The maximum length is %2 characters.,%1 est trop long. La longueur maximale est de %2 caractères.,
%1 payment method is currently not available to you. Please visit the %1 section to find more details.,La méthode de paiement TreviPay n’est actuellement pas disponible pour vous. Veuillez consulter la section TreviPay pour plus de détails.,
%1 Portal,Portail TreviPay,
%1-adjustment-fee,Frais d’ajustement trevipay,
%1-adjustment-refund,Remboursement-ajustement-Trevipay,
"<p>If you plan to no longer use the TreviPay module, please delete the created webhooks so that TreviPay will stop sending updates to your Magento website. In order to do it please click on the <strong>Delete Webhooks</strong> button.</p><p>Please note that webhooks can be (re)created at any time by clicking on the <strong>(Re)Create Webhooks</strong> button.</p>","<p>Si vous prévoyez de ne plus utiliser le module TreviPay, veuillez supprimer les liens de rappel HTTP créés afin que TreviPay cesse d’envoyer des mises à jour à votre site Magento. Pour ce faire, veuillez cliquer sur le bouton <strong> « Supprimer les liens de rappel HTTP » </strong>. </p> <p> Veuillez noter que les liens de rappel HTTP peuvent être (re)créés à tout moment en cliquant sur le bouton <strong> « (Re)créer des liens de rappel HTTP » </strong>. </p>",
"<p>It looks like the <strong>API Key</strong> had been edited recently or the <strong>Sandbox Mode</strong> status had been changed.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Il semblerait que la clé <strong> API </strong> ait été modifiée récemment ou que le statut <strong> « Mode bac à sable » </strong> ait été changé. </p> <p> Vérifiez les paramètres et une fois que vous avez confirmé que tout est configuré correctement, cliquez sur le bouton <strong> « Vérifier les liens de rappel HTTP créés » </strong>. Magento récupérera les liens de rappel HTTP créés dans TreviPay en fonction de la <strong> clé API </strong> actuellement configurée (ou <strong> clé API bac à sable </strong> si le <strong> Mode bac à sable </strong> est réglé sur « Oui ») </p> <p> Si les liens de rappel HTTP ne sont pas créés dans TreviPay, cliquez sur le bouton <strong> « (Re)créer des liens de rappel HTTP » </strong>. Les liens de rappel HTTP seront re(créés) selon la configuration actuelle du module TreviPay. </p>",
"<p>It looks like the website <strong>Base URL</strong> had been edited recently.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Il semblerait que le site Web <strong> URL de base </strong> ait été modifié récemment. </p> <p> Veuillez revoir les paramètres et une fois que vous avez confirmé que tout est configuré correctement, cliquez sur le bouton <strong>« Vérifier les liens de rappel HTTP créés »</strong>. Magento récupérera les liens de rappel HTTP créés dans TreviPay en fonction de la <strong> clé API </strong> actuellement configurée (ou <strong> clé API bac à sable </strong> si le <strong> Mode bac à sable </strong> est réglé sur « Oui ») </p> <p> Si les liens de rappel HTTP ne sont pas créés dans TreviPay, ou s’ils sont créés mais en utilisant l’ancien site Web <strong> URL de base </strong>, cliquez sur le bouton <strong> « (Re)créer des liens de rappel HTTP » </strong>. Les liens de rappel HTTP » seront re(créés) selon la configuration actuelle du module TreviPay. </p>",
"<p>Please note that this might be correct if your websites do not require separate TreviPay programs as it is fine for webhooks to be triggered only to your main website URL.</p><p>If you want to use multiple TreviPay programs, please review the settings and click on the <strong>Check Created Webhooks</strong> button once you have confirmed that everything is correctly set up. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p> Veuillez noter que ceci peut être correct si vos sites web ne nécessitent pas de programmes TreviPay séparés, car il est possible de déclencher des liens de rappel HTTP uniquement vers l’URL de votre site web principal. </p><p> Si vous souhaitez utiliser plusieurs programmes TreviPay, veuillez revoir les paramètres et cliquer sur le bouton <strong> « Vérifier les liens de rappel HTTP créés » </strong> une fois que vous avez confirmé que tout est correctement configuré. Magento récupérera les liens de rappel HTTP créés dans TreviPay en fonction de la <strong> Clé API </strong> actuellement configurée (ou <strong> Clé API bac à sable </strong> si le <strong> Mode bac à sable </strong> est réglé sur « Oui ») </p> <p> Si les liens de rappel HTTP ne sont pas créés dans TreviPay, ou s’ils sont créés mais en utilisant l’ancienne <strong> URL de base </strong> du site web, cliquez sur le bouton <strong> « (Re)créer des liens de rappel HTTP » </strong>. Les liens de rappel HTTP seront re(créés) selon la configuration actuelle du module TreviPay. </p>",
